id,titulo,genero,rating
84,Greatest show on earth,Accion,10.000000
67,Mystery science theater 3000,Accion,9.800000
50,Jill the ripper,Accion,9.700000
46,36 quai des orfevres,Accion,9.200000
97,Vie en rose,Accion,9.200000
32,Chance of a lifetime,Accion,9.000000
40,Saturday night fever,Accion,8.800000
48,Taxi 4,Accion,8.500000
24,Tic code the,Accion,8.200000
28,The coven,Accion,8.000000
27,Telefon,Accion,6.000000
16,North face,Accion,5.400000
73,Deep rising,Accion,4.800000
39,Bone collector,Accion,4.200000
56,Minions,Accion,4.100000
83,Dodge city,Accion,4.000000
98,Best defense,Accion,4.000000
92,Silent house,Accion,3.800000
18,Chu chin chow,Accion,3.300000
7,Who is john galt,Accion,2.900000
33,The snow white murder case,Accion,2.300000
14,Casshern,Accion,1.800000
