id,titulo,genero,rating
34,Yonkers joe,Comedia,9.800000
31,Floundering,Comedia,9.400000
65,10 000 timmar,Comedia,9.300000
76,North to alaska,Comedia,9.100000
21,Sgt kabukiman,Comedia,9.000000
2,Generals daughter,Comedia,6.900000
68,Mountaintop motel massacre,Comedia,6.500000
10,The case of lucky legs,Comedia,6.500000
1,Docks of new york,Comedia,6.500000
12,Romantic comedy,Comedia,5.700000
89,Phantom,Comedia,5.700000
4,Day after trinity,Comedia,4.800000
80,Surfs up,Comedia,4.200000
8,How to survive a plague,Comedia,4.200000
71,Dr. jack,Comedia,4.100000
37,Designing woman,Comedia,3.200000
95,Cloverfield,Comedia,2.800000
5,Disneyland dream,Comedia,2.800000
75,Big mommas like father,Comedia,2.500000
23,American winterr,Comedia,2.400000
60,Flying down to rio,Comedia,2.300000
90,Cheech and chong,Comedia,1.900000
42,Experiment in terror,Comedia,1.600000
