id,titulo,genero,rating
59,1969,Drama,9.900000
6,Eenfance naked childhood,Drama,9.700000
29,Dirty work,Drama,9.500000
63,Invaders from mars,Drama,9.400000
77,Doubt,Drama,9.100000
82,Rogue cop,Drama,8.700000
44,Summer in berlin,Drama,8.500000
57,Dragon ball z,Drama,8.500000
58,Link,Drama,8.200000
25,Kick ass,Drama,7.600000
85,Quicksilver highway,Drama,6.600000
62,Dawn rider,Drama,6.400000
26,In the cut,Drama,6.300000
15,Dragonquest,Drama,6.000000
13,Fall from grace,Drama,6.000000
20,Boy meets boy,Drama,6.000000
49,Horrible bosses 2,Drama,5.700000
70,Pirates who dont do anything,Drama,5.000000
79,Kanine,Drama,4.900000
43,At the earths core,Drama,4.800000
38,Battlestar galactica,Drama,3.400000
54,Heartlands,Drama,3.400000
52,That touch of mink,Drama,3.400000
86,Creepshow 2,Drama,2.700000
74,In america,Drama,1.600000
87,Je appelle elisabeth,Drama,1.300000
17,Satans tango ,Drama,1.000000
