id,titulo,genero,rating
9,The man from the alamo,Terror,9.800000
72,5 deadly venoms,Terror,8.600000
91,Take me out to the ball game,Terror,8.500000
35,With love,Terror,8.100000
66,My sassy girl,Terror,7.500000
55,Divorcee,Terror,7.100000
19,Cannibal holocaust,Terror,7.000000
64,Ugly truth,Terror,6.500000
47,Raiders of the lost ark,Terror,6.300000
88,200 mph,Terror,6.200000
51,Robot carnival,Terror,6.000000
69,My favorite martian,Terror,5.400000
45,Presidents man,Terror,5.200000
96,Way we laughed,Terror,5.200000
3,Angry silence,Terror,4.800000
100,You kill me,Terror,4.300000
22,Naked in new york,Terror,3.700000
61,Wednesday,Terror,3.700000
36,Questioning darwin,Terror,3.500000
30,Sometimes they come back,Terror,3.400000
93,Ordinary decent criminal,Terror,2.700000
41,Brute the bruto,Terror,2.600000
53,47 ronin,Terror,2.200000
78,Dark horse,Terror,1.900000
11,Musketeer,Terror,1.700000
99,Jimmy rosenberg,Terror,1.400000
81,Carbon copy,Terror,1.400000
94,Eerie tales,Terror,1.100000
59,1969,Drama,9.900000
6,Eenfance naked childhood,Drama,9.700000
29,Dirty work,Drama,9.500000
63,Invaders from mars,Drama,9.400000
77,Doubt,Drama,9.100000
82,Rogue cop,Drama,8.700000
44,Summer in berlin,Drama,8.500000
57,Dragon ball z,Drama,8.500000
58,Link,Drama,8.200000
25,Kick ass,Drama,7.600000
85,Quicksilver highway,Drama,6.600000
62,Dawn rider,Drama,6.400000
26,In the cut,Drama,6.300000
15,Dragonquest,Drama,6.000000
13,Fall from grace,Drama,6.000000
20,Boy meets boy,Drama,6.000000
49,Horrible bosses 2,Drama,5.700000
70,Pirates who dont do anything,Drama,5.000000
79,Kanine,Drama,4.900000
43,At the earths core,Drama,4.800000
38,Battlestar galactica,Drama,3.400000
54,Heartlands,Drama,3.400000
52,That touch of mink,Drama,3.400000
86,Creepshow 2,Drama,2.700000
74,In america,Drama,1.600000
87,Je appelle elisabeth,Drama,1.300000
17,Satans tango ,Drama,1.000000
34,Yonkers joe,Comedia,9.800000
31,Floundering,Comedia,9.400000
65,10 000 timmar,Comedia,9.300000
76,North to alaska,Comedia,9.100000
21,Sgt kabukiman,Comedia,9.000000
2,Generals daughter,Comedia,6.900000
68,Mountaintop motel massacre,Comedia,6.500000
10,The case of lucky legs,Comedia,6.500000
1,Docks of new york,Comedia,6.500000
12,Romantic comedy,Comedia,5.700000
89,Phantom,Comedia,5.700000
4,Day after trinity,Comedia,4.800000
80,Surfs up,Comedia,4.200000
8,How to survive a plague,Comedia,4.200000
71,Dr. jack,Comedia,4.100000
37,Designing woman,Comedia,3.200000
95,Cloverfield,Comedia,2.800000
5,Disneyland dream,Comedia,2.800000
75,Big mommas like father,Comedia,2.500000
23,American winterr,Comedia,2.400000
60,Flying down to rio,Comedia,2.300000
90,Cheech and chong,Comedia,1.900000
42,Experiment in terror,Comedia,1.600000
84,Greatest show on earth,Accion,10.000000
67,Mystery science theater 3000,Accion,9.800000
50,Jill the ripper,Accion,9.700000
46,36 quai des orfevres,Accion,9.200000
97,Vie en rose,Accion,9.200000
32,Chance of a lifetime,Accion,9.000000
40,Saturday night fever,Accion,8.800000
48,Taxi 4,Accion,8.500000
24,Tic code the,Accion,8.200000
28,The coven,Accion,8.000000
27,Telefon,Accion,6.000000
16,North face,Accion,5.400000
73,Deep rising,Accion,4.800000
39,Bone collector,Accion,4.200000
56,Minions,Accion,4.100000
83,Dodge city,Accion,4.000000
98,Best defense,Accion,4.000000
92,Silent house,Accion,3.800000
18,Chu chin chow,Accion,3.300000
7,Who is john galt,Accion,2.900000
33,The snow white murder case,Accion,2.300000
14,Casshern,Accion,1.800000
